ENSLOCP00000000001.1	368	ENSGACP00000013354.1	357	78.06	281	360	75	1	359	1	357	0.0	 589
ENSLOCP00000000002.1	598	ENSGACP00000004452.1	701	35.45	179	505	309	15	515	1	492	1e-94	 308
ENSLOCP00000000003.1	226	ENSGACP00000007272.1	315	64.18	129	201	53	1	188	1	195	1e-75	 234
ENSLOCP00000000004.1	215	ENSGACP00000007080.1	218	76.64	164	214	50	1	214	5	218	2e-122	 350
ENSLOCP00000000005.1	618	ENSGACP00000015206.1	859	84.74	261	308	40	1	306	1	303	4e-153	 466
ENSLOCP00000000006.1	313	ENSGACP00000022751.1	338	78.21	244	312	68	1	312	26	337	0.0	 518
ENSLOCP00000000008.1	509	ENSGACP00000015192.1	508	82.43	427	518	66	1	504	1	507	0.0	 808
ENSLOCP00000000007.1	332	ENSGACP00000026495.1	241	32.45	61	188	123	142	328	50	234	1e-22	95.5
ENSLOCP00000000009.1	321	ENSGACP00000026495.1	241	32.62	61	187	122	135	318	50	235	3e-24	99.8
ENSLOCP00000000010.1	149	ENSGACP00000015211.1	98	41.51	44	106	51	46	149	1	97	2e-14	66.6
ENSLOCP00000000011.1	390	ENSGACP00000007068.1	388	66.58	261	392	125	1	390	1	388	0.0	 526
ENSLOCP00000000012.1	603	ENSGACP00000015218.1	542	47.66	306	642	195	1	603	3	542	6e-147	 439
ENSLOCP00000000018.1	1044	ENSGACP00000022712.1	1091	86.07	754	876	119	120	995	219	1091	0.0	1511
ENSLOCP00000000013.1	243	ENSGACP00000015353.1	1992	60.23	53	88	24	1	81	1527	1610	3e-16	79.0
ENSLOCP00000000014.1	236	ENSGACP00000015353.1	1992	71.62	159	222	63	1	222	833	1054	3e-76	 254
ENSLOCP00000000015.1	230	ENSGACP00000015353.1	1992	78.19	147	188	39	6	191	7	194	4e-100	 322
ENSLOCP00000000016.1	171	ENSGACP00000015332.1	180	59.15	97	164	47	2	159	27	176	2e-61	 191
ENSLOCP00000000017.1	86	ENSGACP00000015327.1	136	89.41	76	85	9	2	86	52	136	2e-42	 137
ENSLOCP00000000019.1	346	ENSGACP00000023080.2	5971	26.96	86	319	177	55	342	3077	3370	2e-13	71.6
ENSLOCP00000000021.1	296	ENSGACP00000023080.2	5971	26.69	83	311	175	13	292	3082	3370	2e-13	71.2
ENSLOCP00000000020.1	289	ENSGACP00000000761.1	216	30.91	34	110	74	155	264	1	108	3e-10	58.9
ENSLOCP00000000022.1	551	ENSGACP00000001305.1	524	59.83	140	234	94	318	551	20	253	3e-87	 282
ENSLOCP00000000023.1	199	ENSGACP00000018735.1	359	79.70	161	202	38	1	199	6	207	1e-112	 330
ENSLOCP00000000024.1	476	ENSGACP00000013578.1	438	72.46	321	443	114	1	440	1	438	0.0	 578
ENSLOCP00000000025.1	492	ENSGACP00000013578.1	438	72.46	321	443	114	12	451	1	438	0.0	 578
ENSLOCP00000000026.1	450	ENSGACP00000006462.1	373	81.82	297	363	60	88	444	11	373	0.0	 606
ENSLOCP00000000027.1	373	ENSGACP00000006462.1	373	81.25	299	368	63	6	367	6	373	0.0	 610
ENSLOCP00000000028.1	266	ENSGACP00000000075.1	263	69.35	181	261	80	6	266	3	263	4e-132	 378
ENSLOCP00000000029.1	453	ENSGACP00000014549.1	430	78.78	323	410	74	53	449	20	429	0.0	 659
ENSLOCP00000000030.1	1864	ENSGACP00000014568.1	1774	62.40	390	625	230	16	638	2	623	0.0	 799
ENSLOCP00000000033.1	1802	ENSGACP00000013571.1	538	61.20	306	500	181	47	537	1	496	0.0	 632
ENSLOCP00000000031.1	98	ENSGACP00000010324.1	564	62.50	55	88	31	1	86	104	191	5e-33	 120
ENSLOCP00000000032.1	349	ENSGACP00000010329.1	261	57.35	156	272	99	7	274	1	259	9e-96	 289
ENSLOCP00000000034.1	79	ENSGACP00000007629.1	712	82.09	55	67	12	1	67	342	408	1e-33	 123
ENSLOCP00000000035.1	324	ENSGACP00000010329.1	261	62.15	156	251	90	25	274	13	259	3e-101	 302
ENSLOCP00000000038.1	266	ENSGACP00000013635.1	279	62.18	171	275	91	1	262	1	275	5e-122	 353
ENSLOCP00000000036.1	173	ENSGACP00000014489.1	381	54.19	97	179	56	1	155	101	277	2e-58	 190
ENSLOCP00000000037.1	232	ENSGACP00000010242.1	315	42.11	104	247	116	10	230	59	304	4e-51	 171
ENSLOCP00000000039.1	150	ENSGACP00000019073.2	628	69.57	32	46	11	43	85	7	52	5e-16	75.1
ENSLOCP00000000041.1	309	ENSGACP00000014610.1	301	57.04	162	284	112	1	279	1	279	1e-110	 327
ENSLOCP00000000044.1	315	ENSGACP00000014610.1	301	57.24	174	304	120	1	299	1	299	5e-121	 353
ENSLOCP00000000040.1	327	ENSGACP00000019666.1	321	59.04	160	271	107	1	271	25	291	1e-106	 318
ENSLOCP00000000042.1	84	ENSGACP00000008003.1	1831	40.26	31	77	38	1	69	581	657	1e-09	55.1
ENSLOCP00000000043.1	58	ENSGACP00000010329.1	261	62.07	36	58	22	1	58	124	181	9e-21	82.8
ENSLOCP00000000045.1	318	ENSGACP00000010242.1	315	49.66	146	294	139	27	314	24	314	4e-100	 301
ENSLOCP00000000046.1	256	ENSGACP00000014617.1	253	75.48	197	261	48	2	256	3	253	2e-122	 353
ENSLOCP00000000047.1	252	ENSGACP00000014617.1	253	77.29	194	251	57	2	252	3	253	4e-125	 360
ENSLOCP00000000049.1	235	ENSGACP00000014617.1	253	76.10	191	251	43	2	235	3	253	5e-120	 346
ENSLOCP00000000048.1	525	ENSGACP00000010324.1	564	47.26	207	438	216	32	464	1	428	3e-129	 392
ENSLOCP00000000050.1	785	ENSGACP00000010324.1	564	41.91	189	451	199	86	508	4	419	3e-99	 322
ENSLOCP00000000051.1	756	ENSGACP00000014630.1	689	79.71	550	690	131	75	756	1	689	0.0	1167
ENSLOCP00000000052.1	302	ENSGACP00000010242.1	315	45.82	137	299	154	9	301	10	306	9e-85	 261
ENSLOCP00000000053.1	172	ENSGACP00000005662.1	470	89.53	154	172	16	1	172	301	470	1e-109	 325
ENSLOCP00000000054.1	576	ENSGACP00000010346.1	798	83.60	158	189	31	1	189	147	335	6e-104	 335
ENSLOCP00000000055.1	471	ENSGACP00000010346.1	798	84.78	156	184	28	1	184	147	330	4e-104	 331
ENSLOCP00000000056.1	2109	ENSGACP00000009870.1	1427	37.21	554	1489	824	554	2008	16	1427	0.0	1003
ENSLOCP00000000057.1	123	ENSGACP00000010336.1	163	68.22	73	107	34	8	114	55	161	2e-44	 145
ENSLOCP00000000058.1	269	ENSGACP00000014533.1	1014	69.40	161	232	71	5	236	618	849	4e-110	 344
ENSLOCP00000000060.1	530	ENSGACP00000019672.1	509	60.31	117	194	59	291	470	260	449	4e-56	 198
ENSLOCP00000000059.1	131	ENSGACP00000016373.2	560	96.83	122	126	4	1	126	109	234	1e-74	 235
ENSLOCP00000000062.1	296	ENSGACP00000011467.1	341	65.53	192	293	88	3	294	59	339	2e-130	 378
ENSLOCP00000000061.1	313	ENSGACP00000010329.1	261	63.05	157	249	89	24	270	13	260	1e-104	 310
ENSLOCP00000000063.1	553	ENSGACP00000010242.1	315	42.76	121	283	145	9	286	14	284	2e-64	 215
ENSLOCP00000000064.1	631	ENSGACP00000010377.1	302	42.02	108	257	134	375	626	29	275	2e-63	 214
ENSLOCP00000000065.1	624	ENSGACP00000010329.1	261	46.99	117	249	119	376	618	12	253	3e-64	 215
