ENSTNIP00000006514.1	226	ENSLOCP00000008902.1	229	59.91	136	227	88	1	225	1	226	3e-87	 261
ENSTNIP00000002180.1	599	ENSLOCP00000008887.1	582	46.20	255	552	279	61	599	36	582	3e-147	 442
ENSTNIP00000006515.1	538	ENSLOCP00000008887.1	582	45.83	253	552	279	2	538	36	582	2e-150	 447
ENSTNIP00000006516.1	542	ENSLOCP00000012919.1	550	71.37	379	531	149	1	528	7	537	0.0	 790
ENSTNIP00000006517.1	553	ENSLOCP00000012929.1	866	52.41	337	643	211	1	553	229	866	0.0	 596
ENSTNIP00000017262.1	438	ENSLOCP00000012964.1	558	50.81	252	496	172	1	438	1	482	7e-137	 408
ENSTNIP00000017263.1	380	ENSLOCP00000012968.1	438	63.16	240	380	125	3	380	72	438	9e-171	 488
ENSTNIP00000006154.1	321	ENSLOCP00000007255.1	511	39.45	144	365	147	19	310	15	378	1e-73	 238
ENSTNIP00000022727.1	328	ENSLOCP00000003519.1	410	35.14	39	111	53	6	97	12	122	4e-14	72.4
ENSTNIP00000004670.1	208	ENSLOCP00000003519.1	410	31.11	28	90	42	2	75	47	132	9e-06	45.4
ENSTNIP00000009978.1	1153	ENSLOCP00000012982.1	1140	69.61	795	1142	316	18	1153	24	1140	0.0	1602
ENSTNIP00000007083.1	133	ENSLOCP00000014890.1	337	98.50	131	133	2	1	133	204	336	1e-93	 277
ENSTNIP00000008557.1	1134	ENSLOCP00000014878.1	1160	94.63	423	447	24	3	449	43	489	0.0	 894
ENSTNIP00000008556.1	328	ENSLOCP00000016878.1	345	81.48	264	324	59	5	328	23	345	0.0	 579
ENSTNIP00000008555.1	290	ENSLOCP00000003119.1	254	80.00	60	75	15	128	202	18	92	3e-37	 135
ENSTNIP00000000816.1	326	ENSLOCP00000003119.1	254	80.00	60	75	15	164	238	18	92	6e-37	 135
ENSTNIP00000008554.1	580	ENSLOCP00000018960.1	540	65.06	324	498	167	43	538	36	528	0.0	 697
ENSTNIP00000008553.1	755	ENSLOCP00000013312.1	780	57.24	439	767	292	1	746	1	752	0.0	 811
ENSTNIP00000000887.1	234	ENSLOCP00000013532.1	298	52.92	136	257	91	1	229	19	273	2e-67	 213
ENSTNIP00000008561.1	78	ENSLOCP00000016936.1	443	67.12	49	73	23	7	78	11	83	3e-29	 108
ENSTNIP00000008560.1	887	ENSLOCP00000016928.1	932	51.43	485	943	348	1	887	44	932	0.0	 748
ENSTNIP00000008559.1	329	ENSLOCP00000013124.1	482	67.16	227	338	87	1	326	153	478	2e-147	 428
ENSTNIP00000008558.1	339	ENSLOCP00000013124.1	482	66.19	231	349	87	1	337	149	478	7e-150	 435
ENSTNIP00000022961.1	71	ENSLOCP00000018136.1	358	66.20	47	71	21	1	71	272	339	2e-20	82.8
ENSTNIP00000022801.1	210	ENSLOCP00000018136.1	358	61.90	117	189	61	23	203	22	207	8e-62	 199
